Year,Month,Day,DOY
2006,01,01,1
2006,01,17,17
2006,02,02,33
2006,02,18,49
2006,03,06,65
2006,03,22,81
2006,04,07,97
2006,04,23,113
2006,05,09,129
2006,05,25,145
2006,06,10,161
2006,06,26,177
2006,07,12,193
2006,07,28,209
2006,08,13,225
2006,08,29,241
2006,09,14,257
2006,09,30,273
2006,10,16,289
2006,11,01,305
2006,11,17,321
2006,12,03,337
2006,12,19,353
2007,01,04,4
2007,01,20,20
2007,02,05,36
2007,02,21,52
2007,03,09,68
2007,03,25,84
2007,04,10,100
2007,04,26,116
2007,05,12,132
2007,05,28,148
2007,06,13,164
2007,06,29,180
2007,07,15,196
2007,07,31,212
2007,08,16,228
2007,09,01,244
2007,09,17,260
2007,10,03,276
2007,10,19,292
2007,11,04,308
2007,11,20,324
2007,12,06,340
2007,12,22,356
2008,01,07,7
2008,01,23,23
2008,02,08,39
2008,02,24,55
2008,03,11,71
2008,03,27,87
2008,04,12,103
2008,04,28,119
2008,05,14,135
2008,05,30,151
2008,06,15,167
2008,07,01,183
2008,07,17,199
2008,08,02,215
2008,08,18,231
2008,09,03,247
2008,09,19,263
2008,10,05,279
2008,10,21,295
2008,11,06,311
2008,11,22,327
2008,12,08,343
2008,12,24,359
2009,01,09,9
2009,01,25,25
2009,02,10,41
2009,02,26,57
2009,03,14,73
2009,03,30,89
2009,04,15,105
2009,05,01,121
2009,05,17,137
2009,06,02,153
2009,06,18,169
2009,07,04,185
2009,07,20,201
2009,08,05,217
2009,08,21,233
2009,09,06,249
2009,09,22,265
2009,10,08,281
2009,10,24,297
2009,11,09,313
2009,11,25,329
2009,12,11,345
2009,12,27,361
2010,01,12,12
2010,01,28,28
2010,02,13,44
2010,03,01,60
2010,03,17,76
2010,04,02,92
2010,04,18,108
2010,05,04,124
2010,05,20,140
2010,06,05,156
2010,06,21,172
2010,07,07,188
2010,07,23,204
2010,08,08,220
2010,08,24,236
2010,09,09,252
2010,09,25,268
2010,10,11,284
2010,10,27,300
2010,11,12,316
2010,11,28,332
2010,12,14,348
2010,12,30,364
2011,01,15,15
2011,01,31,31
2011,02,16,47
2011,03,04,63
2011,03,20,79
2011,04,05,95
2011,04,21,111
2011,05,07,127
2011,05,23,143
2011,06,08,159
2011,06,24,175
2011,07,10,191
2011,07,26,207
2011,08,11,223
2011,08,27,239
2011,09,12,255
2011,09,28,271
2011,10,14,287
2011,10,30,303
2011,11,15,319
2011,12,01,335
2011,12,17,351
2012,01,02,2
2012,01,18,18
2012,02,03,34
2012,02,19,50
2012,03,06,66
2012,03,22,82
2012,04,07,98
2012,04,23,114
2012,05,09,130
2012,05,25,146
2012,06,10,162
2012,06,26,178
2012,07,12,194
2012,07,28,210
2012,08,13,226
2012,08,29,242
2012,09,14,258
2012,09,30,274
2012,10,16,290
2012,11,01,306
2012,11,17,322
2012,12,03,338
2012,12,19,354
2013,01,04,4
2013,01,20,20
2013,02,05,36
2013,02,21,52
2013,03,09,68
2013,03,25,84
2013,04,10,100
2013,04,26,116
2013,05,12,132
2013,05,28,148
2013,06,13,164
2013,06,29,180
2013,07,15,196
2013,07,31,212
2013,08,16,228
2013,09,01,244
2013,09,17,260
2013,10,03,276
2013,10,19,292
2013,11,04,308
2013,11,20,324
2013,12,06,340
2013,12,22,356
2014,01,07,7
2014,01,23,23
2014,02,08,39
2014,02,24,55
2014,03,12,71
2014,03,28,87
2014,04,13,103
2014,04,29,119
2014,05,15,135
2014,05,31,151
2014,06,16,167
2014,07,02,183
2014,07,18,199
2014,08,03,215
2014,08,19,231
2014,09,04,247
2014,09,20,263
2014,10,06,279
2014,10,22,295
2014,11,07,311
2014,11,23,327
2014,12,09,343
2014,12,25,359
2015,01,10,10
2015,01,26,26
2015,02,11,42
2015,02,27,58
2015,03,15,74
2015,03,31,90
2015,04,16,106
2015,05,02,122
2015,05,18,138
2015,06,03,154
2015,06,19,170
2015,07,05,186
2015,07,21,202
2015,08,06,218
2015,08,22,234
2015,09,07,250
2015,09,23,266
2015,10,09,282
2015,10,25,298
2015,11,10,314
2015,11,26,330
2015,12,12,346
2015,12,28,362
